State,Name,Percentage_of_Adults_Reporting_Poor_Health,Number_of_Poor_Physical_Health_Days_in_Past_30_,Percentage_of_Adult_Smokers,Percentage_of_Obese_Adults,Food_environment_index_0_to_10,Percentage_of_Adults_Reporting_No_Physical_Activity,Access_to_exercise_opportunities,Excessive_drinking_raw,Number_of_primary_care_physicians_per_100k,Ratio_of_population_to_primary_care_physicians,Percentage_of_Medicare_enrollees_that_had_an_annual_flu_vaccination,Children_in_poverty_raw_value,Income_inequality_raw_value,Air_pollution_particulate_matter_raw_value,Life_expectancy_raw_value,Life_expectancy_Black,Life_expectancy_Hispanic,Life_expectancy_White,Diabetes_prevalence_raw_value,HIV_prevalence_raw_value,Uninsured_adults_raw_value,Median_household_income_raw_value,Median_household_income_Black,Median_household_income_Hispanic,Median_household_income_White,Percentage_Non_Hispanic_Black_raw_value,Percentage_American_Indian_and_Alaska_Native_raw_value,Percentage_Asian_raw_value,Percentage_Native_Hawaiian_Other_Pacific_Islander_raw_value,Percentage_Hispanic_raw_value,Percentage_Non_Hispanic_White_raw_value,Percentage_Females_raw_value,Percentage_Males,Percentage_Rural_raw_value,Percentage_Urban
Maine,Cumberland,0.090048089,3.038952405,0.113915224,0.233,8,0.159,0.838440893,0.228184994,0.001661539,601.8518519,0.53,0.08,4.369480607,8,80.24082785,80.87794426,91.66442889,80.19397921,0.086,221.9,0.105969308,71586,34654,52340,71242,0.030229223,0.003580225,0.022765596,0.000337243,0.021406405,0.903534918,0.514697316,0.485302684,0.360984684,0.639015316
Maine,Franklin,0.140570048,3.846590201,0.161973564,0.341,8.2,0.233,0.467661206,0.198957005,0.001067094,937.125,0.43,0.204,4.34560796,6.9,78.11900258,,,77.9594884,0.092,45.6,0.126080355,49561,,,48495,0.005452052,0.00474964,0.004816537,0.000468274,0.013245476,0.957019099,0.509114627,0.490885373,0.829985699,0.170014301
Maine,Hancock,0.129667712,3.639424146,0.143947347,0.249,8.1,0.183,0.695119262,0.209224172,0.001449621,689.835443,0.51,0.159,4.465967664,6.3,79.98365008,,,79.83342107,0.09,127.8,0.135485094,52148,,57500,52880,0.008520188,0.004743573,0.012497491,0.000218934,0.015270657,0.946470599,0.515626425,0.484373575,0.901135654,0.098864346
Maine,Kennebec,0.124856462,3.533697632,0.164631073,0.335,8,0.231,0.765257755,0.191545619,0.001272359,785.9419355,0.46,0.15,4.466633623,7.7,78.19938656,,99.9014298,78.24361741,0.105,127.1,0.114419027,52154,23438,47533,53463,0.006962476,0.005406158,0.009313336,0.000376793,0.015874446,0.9455862,0.512471024,0.487528976,0.628304312,0.371695688
Maine,Knox,0.111735634,3.035126492,0.136976464,0.272,8,0.186,0.448132676,0.205442868,0.000929882,1075.405405,0.48,0.161,4.225746645,7.2,79.09803436,,,78.98740005,0.083,86.7,0.135457076,56678,84853,31793,55517,0.007417465,0.004651631,0.006411707,0.000301727,0.014935506,0.951245883,0.50675115,0.49324885,0.679308436,0.320691564
Maine,Lincoln,0.111480408,3.459665804,0.145245887,0.245,8.3,0.194,0.566764373,0.182209917,0.001110981,900.1052632,0.36,0.168,4.341396801,7.5,79.47139376,,,79.39503064,0.087,76.6,0.154249188,56211,,,55664,0.00564906,0.003756333,0.00844447,0.000174713,0.012433755,0.957923243,0.509288917,0.490711083,1,0
Maine,Oxford,0.136476888,3.618635942,0.180309235,0.332,8,0.262,0.409558557,0.189484546,0.000591932,1689.382353,0.41,0.263,4.216029724,7.4,77.7635308,,,77.66335547,0.096,60.3,0.131999186,44243,,38274,47680,0.005900934,0.004981082,0.007723281,0.000329758,0.014387865,0.95166441,0.505276129,0.494723871,0.831117182,0.168882818
Maine,Penobscot,0.15212091,4.069071209,0.168580763,0.337,7.5,0.235,0.634122256,0.201364164,0.001289839,775.2908163,0.43,0.171,4.93017891,7.2,77.59723442,85.07887602,100.3899595,77.64499788,0.115,87.9,0.128645656,47840,40054,52750,49827,0.009060465,0.012753481,0.011264362,0.000324297,0.013997723,0.936609838,0.505254937,0.494745063,0.576502537,0.423497463
Maine,Piscataquis,0.15244387,3.963101896,0.189008718,0.366,7.8,0.251,0.480467636,0.177571908,0.000655816,1524.818182,0.32,0.238,4.64982308,6.7,76.62243161,,,76.44991401,0.114,46.9,0.138188012,40066,,35735,39488,0.005,0.007678571,0.008392857,0.000476191,0.014821429,0.95125,0.501309524,0.498690476,1,0
Maine,Sagadahoc,0.117525542,3.329183746,0.135909219,0.251,8.2,0.185,0.814240784,0.209112097,0.000649864,1538.782609,0.33,0.13,3.945904845,7.7,79.58938378,,,79.46095429,0.084,82.3,0.098042923,65969,59006,61033,63361,0.008559241,0.004686535,0.008895998,0.000280631,0.018325195,0.944631532,0.514115732,0.485884268,0.616751197,0.383248803
